Date,District,Market,Fruit,Variety,Grade,Min Price,Max Price,Avg Price
5/20/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,45,50,47.5
5/20/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,30,35,32.5
5/20/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,20,25,22.5
5/21/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,45,50,47.5
5/21/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,30,35,32.5
5/21/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,20,25,22.5
5/22/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,45,50,47.5
5/22/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,30,35,32.5
5/22/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,20,25,22.5
5/23/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,45,50,47.5
5/23/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,30,35,32.5
5/23/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,20,25,22.5
5/24/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,55,52.5
5/24/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,25,30,27.5
5/24/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,20,25,22.5
5/25/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,65,57.5
5/25/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,40,45,42.5
5/25/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,35,32.5
5/26/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,65,57.5
5/26/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,40,45,42.5
5/26/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,35,32.5
5/27/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,65,57.5
5/27/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,40,45,42.5
5/27/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,35,32.5
5/28/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,60,65,62.5
5/28/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,45,55,50
5/28/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
5/29/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,60,65,62.5
5/29/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,45,55,50
5/29/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
5/30/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
5/30/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,35,45,40
5/30/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,30,27.5
5/31/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
5/31/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,35,45,40
5/31/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,30,27.5
6/1/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/1/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,40,45,42.5
6/1/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,35,30
6/2/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/2/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,35,45,40
6/2/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,20,25,22.5
6/3/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/3/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,35,45,40
6/3/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,20,25,22.5
6/4/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/4/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,30,40,35
6/4/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,20,25,22.5
6/5/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/5/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,30,40,35
6/5/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,20,25,22.5
6/6/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,60,65,62.5
6/6/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,40,50,45
6/6/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,35,30
6/7/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,65,70,67.5
