Date,District,Market,Fruit,Grade,Variety,Min Price,Max Price,Avg Price
5/15/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,160,180,170
5/15/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,140,150,145
5/15/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,100,130,115
5/16/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,160,180,170
5/16/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,140,150,145
5/16/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,100,130,115
5/17/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
5/17/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
5/17/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
5/18/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
5/18/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
5/18/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
5/19/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
5/19/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
5/19/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
5/20/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
5/20/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
5/20/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
5/21/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
5/21/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
5/21/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
5/22/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,60,80,70
5/22/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,35,40,37.5
5/22/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,20,30,25
5/23/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
5/23/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
5/23/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
5/24/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
5/24/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
5/24/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
5/25/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
5/25/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
5/25/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
5/26/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
5/26/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
5/26/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
5/27/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
5/27/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
5/27/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
5/28/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
5/28/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
5/28/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
5/29/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,100,85
5/29/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,60,50
5/29/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,25,35,30
5/30/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
5/30/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
5/30/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
5/31/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
5/31/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
5/31/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/1/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,50,70,60
6/1/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,35,40,37.5
6/1/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,20,30,25
6/2/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,50,70,60
6/2/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,35,40,37.5
6/2/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,20,30,25
6/3/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/3/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
6/3/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/4/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/4/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
6/4/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/5/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/5/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,50,45
6/5/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/6/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,75,95,85
6/6/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,45,50,47.5
6/6/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/7/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,75,95,85
6/7/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,45,50,47.5
6/7/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/8/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,90,120,105
6/8/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,60,65,62.5
6/8/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/9/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,90,120,105
6/9/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,60,65,62.5
6/9/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/10/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,90,120,105
6/10/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,60,65,62.5
6/10/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/11/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,90,120,105
6/11/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,60,65,62.5
6/11/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/12/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,100,90
6/12/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,55,52.5
6/12/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/13/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,100,90
6/13/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,55,52.5
6/13/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,40,35
6/14/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/14/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,45,42.5
6/14/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,25,35,30
6/15/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/15/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,45,42.5
6/15/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,25,35,30
6/16/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/16/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,45,42.5
6/16/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,25,35,30
6/17/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/17/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,45,42.5
6/17/2016,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,25,35,30
6/18/2016,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,70,90,80
6/18/2016,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,40,45,42.5
