Date,District,Market,Fruit,Grade,Variety,Min Price,Max Price,Avg Price
5/10/2019,Srinagar,Parimpore,Cherry,Large,Cherry,130,180,155
5/10/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,150,125
5/10/2019,Srinagar,Parimpore,Cherry,Small,Cherry,60,80,70
5/11/2019,Srinagar,Parimpore,Cherry,Large,Cherry,130,180,155
5/11/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,150,125
5/11/2019,Srinagar,Parimpore,Cherry,Small,Cherry,60,80,70
5/12/2019,Srinagar,Parimpore,Cherry,Large,Cherry,130,180,155
5/12/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,150,125
5/12/2019,Srinagar,Parimpore,Cherry,Small,Cherry,60,80,70
5/13/2019,Srinagar,Parimpore,Cherry,Large,Cherry,130,180,155
5/13/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,150,125
5/13/2019,Srinagar,Parimpore,Cherry,Small,Cherry,60,80,70
5/14/2019,Srinagar,Parimpore,Cherry,Large,Cherry,130,180,155
5/14/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,150,125
5/14/2019,Srinagar,Parimpore,Cherry,Small,Cherry,60,80,70
5/15/2019,Srinagar,Parimpore,Cherry,Large,Cherry,130,180,155
5/15/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,150,125
5/15/2019,Srinagar,Parimpore,Cherry,Small,Cherry,60,80,70
5/16/2019,Srinagar,Parimpore,Cherry,Large,Cherry,150,180,165
5/16/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,120,150,135
5/16/2019,Srinagar,Parimpore,Cherry,Small,Cherry,60,80,70
5/17/2019,Srinagar,Parimpore,Cherry,Large,Cherry,150,180,165
5/17/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,120,150,135
5/17/2019,Srinagar,Parimpore,Cherry,Small,Cherry,50,70,60
5/18/2019,Srinagar,Parimpore,Cherry,Large,Cherry,180,200,190
5/18/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,150,170,160
5/18/2019,Srinagar,Parimpore,Cherry,Small,Cherry,60,90,75
5/19/2019,Srinagar,Parimpore,Cherry,Large,Cherry,180,200,190
5/19/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,150,170,160
5/19/2019,Srinagar,Parimpore,Cherry,Small,Cherry,60,90,75
5/20/2019,Srinagar,Parimpore,Cherry,Large,Cherry,180,200,190
5/20/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,150,170,160
5/20/2019,Srinagar,Parimpore,Cherry,Small,Cherry,60,90,75
5/21/2019,Srinagar,Parimpore,Cherry,Large,Cherry,180,200,190
5/21/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,150,170,160
5/21/2019,Srinagar,Parimpore,Cherry,Small,Cherry,60,90,75
5/22/2019,Srinagar,Parimpore,Cherry,Large,Cherry,180,200,190
5/22/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,150,170,160
5/22/2019,Srinagar,Parimpore,Cherry,Small,Cherry,60,90,75
5/23/2019,Srinagar,Parimpore,Cherry,Large,Cherry,130,180,155
5/23/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,150,125
5/23/2019,Srinagar,Parimpore,Cherry,Small,Cherry,60,80,70
5/24/2019,Srinagar,Parimpore,Cherry,Large,Cherry,120,160,140
5/24/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,150,120
5/24/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
5/25/2019,Srinagar,Parimpore,Cherry,Large,Cherry,120,160,140
5/25/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,150,120
5/25/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
5/26/2019,Srinagar,Parimpore,Cherry,Large,Cherry,120,160,140
5/26/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,150,120
5/26/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
5/27/2019,Srinagar,Parimpore,Cherry,Large,Cherry,120,160,140
5/27/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,150,120
5/27/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
5/28/2019,Srinagar,Parimpore,Cherry,Large,Cherry,120,160,140
5/28/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,150,120
5/28/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
5/29/2019,Srinagar,Parimpore,Cherry,Large,Cherry,120,160,140
5/29/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,150,120
5/29/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
5/30/2019,Srinagar,Parimpore,Cherry,Large,Cherry,130,180,155
5/30/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,150,125
5/30/2019,Srinagar,Parimpore,Cherry,Small,Cherry,60,80,70
5/31/2019,Srinagar,Parimpore,Cherry,Large,Cherry,130,180,155
5/31/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,150,125
5/31/2019,Srinagar,Parimpore,Cherry,Small,Cherry,60,80,70
6/1/2019,Srinagar,Parimpore,Cherry,Large,Cherry,130,180,155
6/1/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,150,125
6/1/2019,Srinagar,Parimpore,Cherry,Small,Cherry,60,80,70
6/2/2019,Srinagar,Parimpore,Cherry,Large,Cherry,140,180,160
6/2/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,120,110
6/2/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
6/3/2019,Srinagar,Parimpore,Cherry,Large,Cherry,140,180,160
6/3/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,120,110
6/3/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
6/4/2019,Srinagar,Parimpore,Cherry,Large,Cherry,140,180,160
6/4/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,120,110
6/4/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
6/5/2019,Srinagar,Parimpore,Cherry,Large,Cherry,140,180,160
6/5/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,120,110
6/5/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
6/6/2019,Srinagar,Parimpore,Cherry,Large,Cherry,140,180,160
6/6/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,120,110
6/6/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
6/7/2019,Srinagar,Parimpore,Cherry,Large,Cherry,140,180,160
6/7/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,120,110
6/7/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
6/8/2019,Srinagar,Parimpore,Cherry,Large,Cherry,130,170,150
6/8/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,120,110
6/8/2019,Srinagar,Parimpore,Cherry,Small,Cherry,75,85,80
6/9/2019,Srinagar,Parimpore,Cherry,Large,Cherry,130,170,150
6/9/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,120,110
6/9/2019,Srinagar,Parimpore,Cherry,Small,Cherry,75,85,80
6/10/2019,Srinagar,Parimpore,Cherry,Large,Cherry,130,170,150
6/10/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,120,110
6/10/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
6/11/2019,Srinagar,Parimpore,Cherry,Large,Cherry,130,170,150
6/11/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,120,110
6/11/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
6/12/2019,Srinagar,Parimpore,Cherry,Large,Cherry,130,170,150
6/12/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,100,120,110
6/12/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
6/13/2019,Srinagar,Parimpore,Cherry,Large,Cherry,180,220,200
6/13/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,150,200,175
6/13/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
6/14/2019,Srinagar,Parimpore,Cherry,Large,Cherry,180,220,200
6/14/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,150,200,175
6/14/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
6/15/2019,Srinagar,Parimpore,Cherry,Large,Cherry,220,240,230
6/15/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,180,200,190
6/15/2019,Srinagar,Parimpore,Cherry,Small,Cherry,80,100,90
6/16/2019,Srinagar,Parimpore,Cherry,Large,Cherry,170,200,185
6/16/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,150,190,170
6/16/2019,Srinagar,Parimpore,Cherry,Small,Cherry,100,120,110
6/17/2019,Srinagar,Parimpore,Cherry,Large,Cherry,170,200,185
6/17/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,150,190,170
6/17/2019,Srinagar,Parimpore,Cherry,Small,Cherry,100,120,110
6/18/2019,Srinagar,Parimpore,Cherry,Large,Cherry,170,200,185
6/18/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,150,190,170
6/18/2019,Srinagar,Parimpore,Cherry,Small,Cherry,100,120,110
6/19/2019,Srinagar,Parimpore,Cherry,Large,Cherry,170,200,185
6/19/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,150,190,170
6/19/2019,Srinagar,Parimpore,Cherry,Small,Cherry,100,120,110
6/20/2019,Srinagar,Parimpore,Cherry,Large,Cherry,170,200,185
6/20/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,150,190,170
6/20/2019,Srinagar,Parimpore,Cherry,Small,Cherry,100,120,110
6/21/2019,Srinagar,Parimpore,Cherry,Large,Cherry,170,200,185
6/21/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,150,190,170
6/21/2019,Srinagar,Parimpore,Cherry,Small,Cherry,100,120,110
6/22/2019,Srinagar,Parimpore,Cherry,Large,Cherry,170,200,185
6/22/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,150,190,170
6/22/2019,Srinagar,Parimpore,Cherry,Small,Cherry,100,120,110
6/23/2019,Srinagar,Parimpore,Cherry,Large,Cherry,170,200,185
6/23/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,150,190,170
6/23/2019,Srinagar,Parimpore,Cherry,Small,Cherry,100,120,110
