Date,District,Market,Fruit,Variety,Grade,CaseType,Min Price,Max Price,Avg Price
15-09-2017,Shopian,Aglar,Apple,Delicious,A,,,,
15-09-2017,Shopian,Aglar,Apple,Delicious,B,,,,
16-09-2017,Shopian,Aglar,Apple,Delicious,A,FC,550,650,600
16-09-2017,Shopian,Aglar,Apple,Delicious,B,FC,450,550,500
17-09-2017,Shopian,Aglar,Apple,Delicious,A,,,,
17-09-2017,Shopian,Aglar,Apple,Delicious,B,,,,
18-09-2017,Shopian,Aglar,Apple,Delicious,A,,,,
18-09-2017,Shopian,Aglar,Apple,Delicious,B,,,,
19-09-2017,Shopian,Aglar,Apple,Delicious,A,,,,
19-09-2017,Shopian,Aglar,Apple,Delicious,B,,,,
20-09-2017,Shopian,Aglar,Apple,Delicious,A,FC,550,650,600
20-09-2017,Shopian,Aglar,Apple,Delicious,B,FC,450,550,500
21-09-2017,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
21-09-2017,Shopian,Aglar,Apple,Delicious,B,FC,400,550,475
22-09-2017,Shopian,Aglar,Apple,Delicious,A,FC,520,720,620
22-09-2017,Shopian,Aglar,Apple,Delicious,B,FC,320,520,420
23-09-2017,Shopian,Aglar,Apple,Delicious,A,FC,520,720,620
23-09-2017,Shopian,Aglar,Apple,Delicious,B,FC,320,520,420
24-09-2017,Shopian,Aglar,Apple,Delicious,A,,,,
24-09-2017,Shopian,Aglar,Apple,Delicious,B,,,,
25-09-2017,Shopian,Aglar,Apple,Delicious,A,,,,
25-09-2017,Shopian,Aglar,Apple,Delicious,B,,,,
26-09-2017,Shopian,Aglar,Apple,Delicious,A,,,,
26-09-2017,Shopian,Aglar,Apple,Delicious,B,,,,
27-09-2017,Shopian,Aglar,Apple,Delicious,A,FC,520,720,620
27-09-2017,Shopian,Aglar,Apple,Delicious,B,FC,320,520,420
28-09-2017,Shopian,Aglar,Apple,Delicious,A,FC,520,720,620
28-09-2017,Shopian,Aglar,Apple,Delicious,B,FC,320,520,420
29-09-2017,Shopian,Aglar,Apple,Delicious,A,,,,
29-09-2017,Shopian,Aglar,Apple,Delicious,B,,,,
30-09-2017,Shopian,Aglar,Apple,Delicious,A,,,,
30-09-2017,Shopian,Aglar,Apple,Delicious,B,,,,
01-10-2017,Shopian,Aglar,Apple,Delicious,A,,,,
01-10-2017,Shopian,Aglar,Apple,Delicious,B,,,,
02-10-2017,Shopian,Aglar,Apple,Delicious,A,,,,
02-10-2017,Shopian,Aglar,Apple,Delicious,B,,,,
03-10-2017,Shopian,Aglar,Apple,Delicious,A,FC,450,550,500
03-10-2017,Shopian,Aglar,Apple,Delicious,B,FC,350,450,400
04-10-2017,Shopian,Aglar,Apple,Delicious,A,FC,450,550,500
04-10-2017,Shopian,Aglar,Apple,Delicious,B,FC,350,450,400
05-10-2017,Shopian,Aglar,Apple,Delicious,A,FC,450,550,500
05-10-2017,Shopian,Aglar,Apple,Delicious,B,FC,350,450,400
06-10-2017,Shopian,Aglar,Apple,Delicious,A,,,,
06-10-2017,Shopian,Aglar,Apple,Delicious,B,,,,
07-10-2017,Shopian,Aglar,Apple,Delicious,A,,,,
07-10-2017,Shopian,Aglar,Apple,Delicious,B,,,,
08-10-2017,Shopian,Aglar,Apple,Delicious,A,FC,480,540,510
