Variety,Grade,Date,Min Price (per kg),Max Price (per kg),Avg Price (per kg)
American,A,2017-10-01,,,
American,A,2017-10-08,20.0,32.5,26.25
American,A,2017-10-15,25.0,32.5,28.75
American,A,2017-10-22,25.0,32.5,28.75
American,A,2017-10-29,25.0,32.5,28.75
American,A,2017-11-05,25.0,32.5,28.75
American,A,2017-11-12,25.0,37.5,31.25
American,A,2017-11-19,25.0,37.5,31.25
American,A,2017-11-26,25.0,37.5,31.25
American,A,2017-12-03,25.0,37.5,31.25
American,A,2017-12-10,,,
American,A,2017-12-17,,,
American,A,2017-12-24,,,
American,A,2017-12-31,,,
American,A,2018-01-07,,,
American,A,2018-01-14,,,
American,A,2018-01-21,,,
American,A,2018-01-28,,,
American,A,2018-02-04,,,
American,A,2018-02-11,,,
American,A,2018-02-18,,,
American,A,2018-02-25,,,
American,A,2018-03-04,,,
American,A,2018-03-11,,,
American,A,2018-03-18,,,
American,A,2018-03-25,,,
American,A,2018-04-01,,,
American,A,2018-04-08,,,
American,A,2018-04-15,,,
American,A,2018-04-22,,,
American,A,2018-04-29,,,
American,A,2018-05-06,,,
American,A,2018-05-13,,,
American,A,2018-05-20,,,
American,A,2018-05-27,,,
American,A,2018-06-03,,,
American,A,2018-06-10,,,
American,A,2018-06-17,,,
American,A,2018-06-24,,,
American,A,2018-07-01,,,
American,A,2018-07-08,,,
American,A,2018-07-15,,,
American,A,2018-07-22,,,
American,A,2018-07-29,,,
American,A,2018-08-05,,,
American,A,2018-08-12,,,
American,A,2018-08-19,,,
American,A,2018-08-26,,,
American,A,2018-09-02,,,
American,A,2018-09-09,,,
American,A,2018-09-16,,,
American,A,2018-09-23,,,
American,A,2018-09-30,,,
American,A,2018-10-07,18.75,25.0,21.875
American,A,2018-10-14,18.75,31.25,25.0
American,A,2018-10-21,18.75,31.25,25.0
American,A,2018-10-28,12.5,25.0,18.75
American,A,2018-11-04,12.5,25.0,18.75
American,A,2018-11-11,14.583333333333334,20.833333333333332,17.708333333333332
American,A,2018-11-18,15.520833333333334,21.770833333333332,18.645833333333332
American,A,2018-11-25,15.625,21.875,18.75
American,A,2018-12-02,18.75,25.0,21.875
American,A,2018-12-09,,,
American,A,2018-12-16,,,
American,A,2018-12-23,,,
American,A,2018-12-30,,,
American,A,2019-01-06,,,
American,A,2019-01-13,,,
American,A,2019-01-20,,,
American,A,2019-01-27,,,
American,A,2019-02-03,,,
American,A,2019-02-10,,,
American,A,2019-02-17,,,
American,A,2019-02-24,,,
American,A,2019-03-03,,,
American,A,2019-03-10,,,
American,A,2019-03-17,,,
American,A,2019-03-24,,,
American,A,2019-03-31,,,
American,A,2019-04-07,,,
American,A,2019-04-14,,,
American,A,2019-04-21,,,
American,A,2019-04-28,,,
American,A,2019-05-05,,,
American,A,2019-05-12,,,
American,A,2019-05-19,,,
American,A,2019-05-26,,,
American,A,2019-06-02,,,
American,A,2019-06-09,,,
American,A,2019-06-16,,,
American,A,2019-06-23,,,
American,A,2019-06-30,,,
American,A,2019-07-07,,,
American,A,2019-07-14,,,
American,A,2019-07-21,,,
American,A,2019-07-28,,,
American,A,2019-08-04,,,
American,A,2019-08-11,,,
American,A,2019-08-18,,,
American,A,2019-08-25,,,
American,A,2019-09-01,,,
American,A,2019-09-08,,,
American,A,2019-09-15,,,
American,A,2019-09-22,,,
American,A,2019-09-29,,,
American,A,2019-10-06,,,
American,A,2019-10-13,46.875,50.0,48.125
American,A,2019-10-20,46.875,50.0,48.125
American,A,2019-10-27,46.875,50.0,48.125
American,A,2019-11-03,,,
American,A,2019-11-10,46.875,50.0,48.125
American,A,2019-11-17,46.875,50.0,48.125
American,A,2019-11-24,46.875,50.0,48.125
American,A,2019-12-01,,,
American,A,2019-12-08,,,
American,A,2019-12-15,,,
American,A,2019-12-22,,,
American,A,2019-12-29,,,
American,A,2020-01-05,,,
American,A,2020-01-12,,,
American,A,2020-01-19,,,
American,A,2020-01-26,,,
American,A,2020-02-02,,,
American,A,2020-02-09,,,
American,A,2020-02-16,,,
American,A,2020-02-23,,,
American,A,2020-03-01,,,
American,A,2020-03-08,,,
American,A,2020-03-15,,,
American,A,2020-03-22,,,
American,A,2020-03-29,,,
American,A,2020-04-05,,,
American,A,2020-04-12,,,
American,A,2020-04-19,,,
American,A,2020-04-26,,,
American,A,2020-05-03,,,
American,A,2020-05-10,,,
American,A,2020-05-17,,,
American,A,2020-05-24,,,
American,A,2020-05-31,,,
American,A,2020-06-07,,,
American,A,2020-06-14,,,
American,A,2020-06-21,,,
American,A,2020-06-28,,,
American,A,2020-07-05,,,
American,A,2020-07-12,,,
American,A,2020-07-19,,,
American,A,2020-07-26,,,
American,A,2020-08-02,,,
American,A,2020-08-09,,,
American,A,2020-08-16,,,
American,A,2020-08-23,,,
American,A,2020-08-30,,,
American,A,2020-09-06,,,
American,A,2020-09-13,,,
American,A,2020-09-20,,,
American,A,2020-09-27,,,
American,A,2020-10-04,25.0,35.416666666666664,30.208333333333332
American,A,2020-10-11,25.0,36.458333333333336,30.729166666666668
American,A,2020-10-18,26.041666666666668,39.375,32.708333333333336
American,A,2020-10-25,28.125,44.791666666666664,36.458333333333336
American,A,2020-11-01,31.25,43.75,37.5
American,A,2020-11-08,31.25,43.392857142857146,37.32142857142857
American,A,2020-11-15,31.25,41.785714285714285,36.517857142857146
American,A,2020-11-22,32.32142857142857,41.42857142857143,36.964285714285715
American,A,2020-11-29,32.5,43.75,38.75
American,A,2020-12-06,32.5,43.75,38.75
American,A,2020-12-13,,,
American,A,2020-12-20,,,
American,A,2020-12-27,,,
American,A,2021-01-03,,,
American,A,2021-01-10,,,
American,A,2021-01-17,,,
American,A,2021-01-24,,,
American,A,2021-01-31,,,
American,A,2021-02-07,,,
American,A,2021-02-14,,,
American,A,2021-02-21,,,
American,A,2021-02-28,,,
American,A,2021-03-07,,,
American,A,2021-03-14,,,
American,A,2021-03-21,,,
American,A,2021-03-28,,,
American,A,2021-04-04,,,
American,A,2021-04-11,,,
American,A,2021-04-18,,,
American,A,2021-04-25,,,
American,A,2021-05-02,,,
American,A,2021-05-09,,,
American,A,2021-05-16,,,
American,A,2021-05-23,,,
American,A,2021-05-30,,,
American,A,2021-06-06,,,
American,A,2021-06-13,,,
American,A,2021-06-20,,,
American,A,2021-06-27,,,
American,A,2021-07-04,,,
American,A,2021-07-11,,,
American,A,2021-07-18,,,
American,A,2021-07-25,,,
American,A,2021-08-01,,,
American,A,2021-08-08,,,
American,A,2021-08-15,,,
American,A,2021-08-22,,,
American,A,2021-08-29,,,
American,A,2021-09-05,,,
American,A,2021-09-12,,,
American,A,2021-09-19,,,
American,A,2021-09-26,,,
American,A,2021-10-03,,,
American,A,2021-10-10,28.75,35.0,31.875
American,A,2021-10-17,26.5625,32.8125,29.6875
American,A,2021-10-24,30.208333333333332,36.458333333333336,33.333333333333336
