Sr. No.,Market Name,Fruit/Crop,Fruit/Crop Variety,Date/Time,Price (per quintal)
,Satellite F & V Market Kathua,Apple,delicious-medium,2025-06-03,8000.0
,F&V Mandi Narwal,Apple,Delicious ,2025-06-03,11500.0
,Satellite F&V Market Udhampur,Apple,delicious-medium,2025-06-03,13000.0
,Satellite F & V Market Kathua,Apple,delicious-medium,2025-06-02,10000.0
,Delhi Mandi,Apple,Delicious large,2025-06-02,12700.0
,F&V Mandi Narwal,Apple,Delicious ,2025-06-02,11500.0
,Kolkata Mandi,Apple,delicious-large,2025-06-02,0.0
,Satellite F & V Market Kathua,Apple,delicious-medium,2025-05-31,10000.0
,Kolkata Mandi,Apple,delicious-large,2025-05-31,0.0
,Delhi Mandi,Apple,Delicious large,2025-05-31,12700.0
,Satellite F&V Market Udhampur,Apple,delicious-medium,2025-05-31,15000.0
,F&V Mandi Narwal,Apple,Delicious ,2025-05-31,11500.0
,Satellite F & V Market Kathua,Apple,delicious-medium,2025-05-30,12000.0
,Kolkata Mandi,Apple,delicious-large,2025-05-30,0.0
,F&V Mandi Narwal,Apple,Delicious ,2025-05-30,11500.0
,Satellite F&V Market Udhampur,Apple,delicious-medium,2025-05-30,15000.0
,Satellite F & V Market Kathua,Apple,delicious-medium,2025-05-29,12000.0
,Delhi Mandi,Apple,Delicious large,2025-05-29,12650.0
,Kolkata Mandi,Apple,delicious-large,2025-05-29,0.0
,F&V Mandi Narwal,Apple,Delicious ,2025-05-29,11500.0
,Satellite F&V Market Udhampur,Apple,delicious-medium,2025-05-29,14000.0
,F&V Mandi Narwal,Apple,Delicious ,2025-05-28,11500.0
,Satellite F & V Market Kathua,Apple,delicious-medium,2025-05-28,10000.0
,Delhi Mandi,Apple,Delicious large,2025-05-28,12650.0
,Satellite F&V Market Udhampur,Apple,delicious-medium,2025-05-28,15000.0
,Kolkata Mandi,Apple,delicious-large,2025-05-28,0.0
,Satellite F & V Market Kathua,Apple,delicious-medium,2025-05-27,10000.0
,Delhi Mandi,Apple,Delicious large,2025-05-27,12800.0
,Satellite F&V Market Udhampur,Apple,delicious-medium,2025-05-27,15000.0
,Satellite F & V Market Kathua,Apple,delicious-medium,2025-05-26,10000.0
,Delhi Mandi,Apple,Delicious large,2025-05-26,12750.0
,Kolkata Mandi,Apple,delicious-large,2025-05-26,0.0
,Kolkata Mandi,Apple,delicious-large,2025-05-25,0.0
,Satellite F & V Market Kathua,Apple,delicious-medium,2025-05-24,10000.0
,Kolkata Mandi,Apple,delicious-large,2025-05-24,0.0
,Delhi Mandi,Apple,delicious-medium,2025-05-24,9850.0
,Delhi Mandi,Apple,Delicious large,2025-05-24,12900.0
,Satellite F&V Market Udhampur,Apple,delicious-medium,2025-05-24,13000.0
,F&V Mandi Narwal,Apple,delicious,2025-05-23,11500.0
,Satellite F & V Market Kathua,Apple,delicious-medium,2025-05-23,10000.0
,Satellite F&V Market Udhampur,Apple,delicious-medium,2025-05-23,13000.0
,Delhi Mandi,Apple,delicious-medium,2025-05-23,9890.0
,Delhi Mandi,Apple,Delicious large,2025-05-23,12700.0
