Predictions,Lower Bound,Upper Bound
106.92446,97.74134,116.10758
106.53957,97.35645,115.722694
105.84137,96.65825,115.02449
105.04786,95.86474,114.23098
104.2038,95.020676,113.38692
103.334564,94.15144,112.517685
102.45533,93.27221,111.63845
101.575615,92.392494,110.758736
100.70194,91.51882,109.88506
99.8378,90.65468,109.02092
98.986435,89.803314,108.169556
98.15034,88.96722,107.33346
97.332466,88.149345,106.51559
96.54258,87.35946,105.7257
95.76925,86.58613,104.95237
95.01517,85.83205,104.19829
94.2607,85.077576,103.44382
93.527534,84.34441,102.710655
92.81229,83.629166,101.99541
92.11266,82.92954,101.295784
