Predictions,Lower Bound,Upper Bound
213.70856,162.12172,265.29538
214.55122,162.96439,266.13806
216.1457,164.55887,267.73254
218.91936,167.33252,270.5062
220.64893,169.06209,272.23575
223.03026,171.44342,274.6171
225.85426,174.26743,277.4411
228.45645,176.86961,280.04327
231.58382,179.99698,283.17065
235.03986,183.45302,286.62668
238.68277,187.09593,290.2696
242.8533,191.26646,294.44012
247.47345,195.88661,299.06027
252.60437,201.01753,304.1912
258.45248,206.86565,310.0393
265.07065,213.48381,316.65747
272.6585,221.07167,324.24533
281.46072,229.87389,333.04755
291.76035,240.17351,343.34717
304.00723,252.4204,355.59406
