Predictions,Lower Bound,Upper Bound
283.08447,-13654376000000.0,13654376000000.0
302.90323,-13654376000000.0,13654376000000.0
334.8744,-13654376000000.0,13654376000000.0
391.61328,-13654376000000.0,13654376000000.0
508.89597,-13654376000000.0,13654376000000.0
822.41504,-13654376000000.0,13654376000000.0
2071.999,-13654376000000.0,13654376000000.0
8968.777,-13654376000000.0,13654376000000.0
55070.348,-13654376000000.0,13654376000000.0
344630.3,-13654376000000.0,13654376000000.0
2157435.5,-13654374000000.0,13654378000000.0
13506597.0,-13654363000000.0,13654390000000.0
84558600.0,-13654291000000.0,13654461000000.0
529383330.0,-13653847000000.0,13654906000000.0
3314231800.0,-13651062000000.0,13657691000000.0
20748925000.0,-13633627000000.0,13675126000000.0
129899720000.0,-13524477000000.0,13784276000000.0
813243900000.0,-12841132000000.0,14467620000000.0
5091355000000.0,-8563021300000.0,18745730000000.0
31874690000000.0,18220315000000.0,45529070000000.0
