Predictions,Lower Bound,Upper Bound
216.35722,183.44315,249.2713
214.96696,182.05289,247.88104
212.64496,179.73087,245.55905
209.53838,176.6243,242.45245
205.24214,172.32806,238.15622
202.7014,169.78732,235.61548
199.64073,166.72665,232.55481
196.40776,163.49368,229.32184
193.13177,160.21768,226.04587
190.24983,157.33575,223.16391
187.23633,154.32224,220.15042
184.26338,151.3493,217.17746
181.35976,148.44568,214.27383
178.57202,145.65793,211.48611
175.81377,142.89969,208.72784
173.14122,140.22714,206.0553
170.55824,137.64417,203.47232
168.07037,135.15628,200.98447
165.64539,132.7313,198.55948
163.30109,130.387,196.21518
