Predictions,Lower Bound,Upper Bound
334.11993,245.01477,423.2251
332.99725,243.89209,422.10242
331.56894,242.46378,420.6741
329.75793,240.65277,418.8631
327.47174,238.36658,416.5769
324.60153,235.49637,413.7067
321.0233,231.91812,410.12845
316.6011,227.49594,405.70627
311.195,222.08984,400.30017
304.67416,215.569,393.77933
296.93597,207.83081,386.04114
287.9316,198.82645,377.03677
277.69382,188.58865,366.79898
266.36148,177.25632,355.46664
254.19145,165.08629,343.29663
241.54898,152.44382,330.65414
228.87216,139.767,317.97733
216.61531,127.51015,305.72046
205.18515,116.07999,294.2903
194.88843,105.783264,283.9936
