Predictions,Lower Bound,Upper Bound
144.78835,141.2906,148.28609
145.55489,142.05714,149.05263
145.74796,142.25021,149.2457
145.60396,142.10622,149.1017
145.2693,141.77156,148.76704
144.8374,141.33966,148.33514
144.36668,140.86894,147.86443
143.89642,140.39868,147.39417
143.44473,139.94699,146.94247
143.0206,139.52286,146.51834
142.63683,139.13908,146.13457
142.29343,138.79568,145.79117
142.01369,138.51595,145.51143
141.74765,138.24991,145.24539
141.49832,138.00058,144.99606
141.27037,137.77263,144.76811
141.05745,137.55971,144.55519
140.86328,137.36554,144.36102
140.68071,137.18297,144.17845
140.51707,137.01933,144.01482
