Predictions,Lower Bound,Upper Bound
102.85093,96.03584,109.666016
104.83934,98.024254,111.65443
106.27784,99.46275,113.092926
107.362274,100.54719,114.17736
108.27558,101.460495,115.09067
109.03354,102.21845,115.848625
109.68933,102.874245,116.50442
110.27652,103.46143,117.091606
110.81659,104.0015,117.631676
111.32314,104.50806,118.13823
111.8048,104.989716,118.61989
112.26711,105.45203,119.0822
112.71355,105.89846,119.52863
113.14644,106.33135,119.961525
113.567345,106.75226,120.38243
113.97714,107.162056,120.79223
114.37657,107.561485,121.19166
114.766205,107.95112,121.58129
115.146416,108.33133,121.9615
115.51725,108.70216,122.33234
