Predictions,Lower Bound,Upper Bound
63.62877,61.328846,65.92869
64.5719,62.271976,66.87182
64.950134,62.65021,67.25005
64.966545,62.666622,67.266464
64.82419,62.524265,67.12411
64.33241,62.03249,66.63233
63.886715,61.586792,66.18664
63.514915,61.214993,65.814835
63.30531,61.005386,65.60523
63.09642,60.796497,65.39634
62.825497,60.525574,65.12542
62.63729,60.337368,64.93721
62.44189,60.141968,64.74181
62.259075,59.959152,64.559
62.09109,59.79117,64.391014
61.934795,59.634872,64.23472
61.789948,59.490025,64.08987
61.656693,59.35677,63.956615
61.53565,59.235725,63.83557
61.422417,59.122494,63.72234
