Predictions,Lower Bound,Upper Bound
191.08493,185.47849,196.69138
199.23953,193.63309,204.84598
197.74446,192.13802,203.3509
194.56516,188.95871,200.1716
192.7215,187.11505,198.32794
191.55437,185.94792,197.16081
193.70854,188.1021,199.31499
193.60962,188.00317,199.21606
194.3861,188.77965,199.99254
195.30307,189.69662,200.90952
195.91257,190.30612,201.51901
196.62808,191.02164,202.23453
197.25812,191.65167,202.86456
197.84224,192.2358,203.44868
198.3908,192.78435,203.99724
198.89107,193.28462,204.49751
199.35612,193.74968,204.96257
199.78368,194.17723,205.39012
200.17758,194.57114,205.78403
200.5407,194.93425,206.14714
