Predictions,Lower Bound,Upper Bound
138.76944,115.25727,162.28162
144.18457,120.6724,167.69675
140.96213,117.44996,164.4743
133.03069,109.51852,156.54286
126.705505,103.19334,150.21768
121.795746,98.28358,145.30792
115.88352,92.37135,139.39569
116.82353,93.31136,140.33571
113.20011,89.68794,136.71228
111.41791,87.90574,134.93008
110.525665,87.0135,134.03784
110.04721,86.53504,133.55939
109.27966,85.767494,132.79184
108.83696,85.32479,132.34914
108.51833,85.006165,132.0305
108.43542,84.92325,131.94759
108.25467,84.7425,131.76685
108.138084,84.625916,131.65025
108.08692,84.57475,131.59909
108.07228,84.56011,131.58446
