Predictions,Lower Bound,Upper Bound
105.24559,81.870834,128.62035
119.48646,96.1117,142.8612
129.57372,106.19896,152.94847
136.35194,112.97719,159.7267
139.8486,116.47385,163.22336
140.12668,116.75192,163.50143
138.11,114.735245,161.48476
134.868,111.49324,158.24275
130.9524,107.57764,154.32715
126.91686,103.54211,150.29161
124.03432,100.65956,147.40907
123.26766,99.89291,146.64241
124.97002,101.59526,148.34477
128.69344,105.31868,152.06819
133.44867,110.07391,156.82343
139.15881,115.78406,162.53357
145.1368,121.76204,168.51155
150.47746,127.10271,173.85222
154.31639,130.94164,177.69115
155.76538,132.39062,179.14014
