Predictions,Lower Bound,Upper Bound
92.90226,80.03638,105.76814
93.1921,80.32622,106.05798
93.75122,80.88534,106.6171
94.51686,81.65098,107.382744
95.42553,82.55965,108.29141
96.43307,83.567184,109.29895
97.50579,84.63991,110.37167
98.568954,85.70307,111.43484
99.54998,86.6841,112.41586
100.67552,87.80964,113.541405
101.84311,88.97723,114.70899
103.05052,90.18464,115.916405
104.290085,91.4242,117.15597
105.56515,92.699265,118.43103
106.85909,93.99321,119.724976
108.18645,95.320564,121.05233
109.55906,96.69318,122.42494
110.94223,98.07635,123.80811
112.347626,99.48174,125.21351
113.76297,100.89709,126.62885
