Predictions,Lower Bound,Upper Bound
77.4074,61.89677,92.91803
77.87039,62.35976,93.38103
78.59955,63.088917,94.11018
79.56312,64.05249,95.073746
80.65831,65.147675,96.168945
81.84936,66.33873,97.359985
83.10963,67.599,98.620255
84.420555,68.90993,99.93118
85.770096,70.25946,101.28073
87.154465,71.64383,102.6651
88.64864,73.138016,104.15927
90.14308,74.63245,105.65372
91.64386,76.133224,107.154495
93.16101,77.650375,108.671646
94.68422,79.173584,110.194855
96.21244,80.70181,111.72307
97.744484,82.23386,113.25511
99.28094,83.77031,114.791565
100.822975,85.31235,116.3336
102.36912,86.85849,117.879745
