Predictions,Lower Bound,Upper Bound
53.41413,40.169098,66.659164
53.90967,40.66464,67.15471
54.661476,41.416443,67.90651
55.562706,42.317673,68.80774
56.54672,43.301685,69.791756
57.58658,44.341545,70.83161
58.667603,45.42257,71.912636
59.78482,46.539787,73.029854
60.935604,47.69057,74.18064
62.116634,48.8716,75.36167
63.32309,50.078056,76.56812
64.55249,51.307457,77.79752
65.8026,52.557564,79.04763
67.0724,53.82737,80.31744
68.36112,55.11609,81.606155
69.667946,56.422913,82.91298
70.9916,57.746567,84.23663
72.329575,59.08454,85.57461
73.674805,60.42977,86.91984
75.026474,61.78144,88.27151
