Predictions,Lower Bound,Upper Bound
186.63187,162.61389,210.64984
188.80641,164.78844,212.82439
189.096,165.07802,213.11397
188.37296,164.35498,212.39093
186.95409,162.93611,210.97206
185.10855,161.09058,209.12653
182.98886,158.97089,207.00684
180.59254,156.57457,204.61052
178.07484,154.05687,202.09282
175.63187,151.61389,199.64984
173.20512,149.18715,197.2231
170.64662,146.62865,194.6646
168.0376,144.01962,192.05557
165.42528,141.4073,189.44325
163.38559,139.36761,187.40356
160.98506,136.96709,185.00304
158.74463,134.72665,182.7626
156.63052,132.61255,180.6485
154.63335,130.61537,178.65132
152.74947,128.73149,176.76744
