Predictions,Lower Bound,Upper Bound
120.7866,90.50371,151.06949
121.45353,91.17064,151.73642
120.81439,90.5315,151.09729
118.95463,88.67174,149.23752
116.39618,86.11329,146.67908
113.36719,83.0843,143.65009
110.118416,79.835526,140.4013
106.82059,76.5377,137.10349
103.54358,73.26069,133.82648
100.3106,70.02771,130.59349
97.216385,66.933495,127.499275
94.12167,63.838783,124.404564
91.2518,60.96891,121.53469
88.0528,57.769913,118.33569
85.76415,55.481262,116.04704
83.613716,53.330826,113.89661
81.64037,51.357483,111.92326
79.78505,49.50216,110.06794
78.20063,47.91774,108.48352
76.92107,46.638176,107.20396
