Predictions,Lower Bound,Upper Bound
55.888874,54.339027,57.43872
56.012966,54.46312,57.562813
56.34883,54.798985,57.898678
56.734077,55.18423,58.283924
57.08732,55.53747,58.637165
57.394936,55.84509,58.944782
57.638176,56.08833,59.188023
58.05513,56.505283,59.604977
57.824257,56.27441,59.374104
57.93747,56.387623,59.487316
57.998707,56.44886,59.548553
58.03925,56.489403,59.589096
58.079685,56.52984,59.62953
58.124584,56.574738,59.67443
58.170807,56.62096,59.720654
58.227913,56.678066,59.77776
58.290203,56.740356,59.84005
58.359333,56.809486,59.90918
58.42922,56.87937,59.979065
58.50184,56.951992,60.051685
